Number_of_Referrals,Tenure_in_Months,Avg_Monthly_Long_Distance_Charges,Avg_Monthly_GB_Download,Monthly_Charge,Total_Regular_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Age,Number_of_Dependents,Zip_Code,Population,CLTV,Total_Customer_Svc_Requests,Product/Service_Issues_Reported,Customer_Satisfaction,Referred_a_Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone_Service_Yes,Multiple_Lines_Yes,Internet_Service_Yes,Internet_Type_DSL,Internet_Type_Fiber Optic,Internet_Type_None,Online_Security_Yes,Online_Backup_Yes,Device_Protection_Plan_Yes,Premium_Tech_Support_Yes,Streaming_TV_Yes,Streaming_Movies_Yes,Streaming_Music_Yes,Unlimited_Data_Yes,Contract_One Year,Contract_Two Year,Paperless_Billing_Yes,Payment_Method_Credit Card,Payment_Method_Mailed Check,Gender_Male,Under_30_Yes,Senior_Citizen_Yes,Married_Yes,Dependents_Yes,Churn_Category_Competitor,Churn_Category_Dissatisfaction,Churn_Category_Other,Churn_Category_Price
0,35,25.51,18,88.55600000000001,3030.6,0.0,0.0,892.85,37,0,90603,19109,5928,1,1,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0.0,32,37.336,35.9,0.0,0.0,0.0,54,0,93560,14931,4747,4,4,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,35,41.02,0,20.05,746.75,0.0,0.0,1435.7,24,1,92649,32304,3942,1,0,3.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
0,7,21.58,78,77.63600000000001,544.55,0.0,425.0,151.06,23,0,95129,37570,3331,2,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
8,68,17.12,0,25.8,1911.5,0.0,0.0,1164.16,41,0,96124,322,4747,2,2,2.993293091884641,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,2,40.43,30,89.07600000000001,181.5,0.0,54.0,80.86,22,0,92122,34902,3878,0,0,2.993293091884641,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0,1,32.73,0,25.4,25.4,0.0,0.0,32.73,21,1,91789,45118,4556,1,0,2.993293091884641,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
2,9,42.39,16,65.6,593.3,0.0,95.0,381.51,37,0,93225,4498,2205,1,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
0,36,8.5,0,18.55,689.0,0.0,0.0,306.0,33,0,90047,47107,5703,2,0,2.993293091884641,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
0,9,45.99,0,20.45,147.55,0.0,0.0,413.91,32,0,95417,176,2392,0,0,2.993293091884641,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,16,20.12,30,68.25,1114.85,0.0,33.45,321.92,32,1,91331,97318,3559,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,44,4.17,0,19.6,780.25,0.0,0.0,183.48,21,2,94305,13386,5584,4,0,5.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
3,12,25.09,17,78.85,876.75,0.0,0.0,301.08,46,0,94044,38885,2495,2,1,2.993293091884641,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,63,20.37,26,108.75,6871.7,0.0,0.0,1283.3100000000002,49,0,94037,2346,4582,1,0,5.0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10,72,48.44,15,82.3,5815.15,0.0,872.0,3487.68,40,0,95636,659,4162,2,2,2.993293091884641,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,13.58,26,61.568000000000005,59.2,0.0,0.0,13.58,40,3,90063,55668,5020,7,1,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,47,3.95,0,21.3,1041.8,0.0,0.0,185.65,47,3,93551,34045,2861,0,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
5,35,1.53,57,89.7,3165.6,0.0,0.0,53.55,50,3,94538,56126,2775,0,0,2.993293091884641,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
0,3,23.82,26,77.376,215.8,0.0,56.0,71.46000000000001,32,0,94509,90891,2054,5,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,64,4.76,8,104.05,6605.55,0.0,528.0,304.64,61,0,96016,344,4337,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
1,40,2.03,21,88.244,3303.05,0.0,694.0,81.19999999999999,64,0,92592,46171,5764,3,0,2.993293091884641,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
9,10,21.85,9,54.95,568.85,0.0,51.0,218.5,34,0,95664,1173,3519,0,0,2.993293091884641,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
1,58,27.99,26,113.828,6144.55,0.0,1598.0,1623.4199999999998,39,0,92647,58764,6424,2,2,2.993293091884641,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
1,65,19.84,2,90.65,5931.0,0.0,0.0,1289.6,52,0,91104,38460,6358,2,0,2.993293091884641,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,39.1,30,73.112,70.3,0.0,0.0,39.1,80,0,93954,521,4962,2,1,1.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0
9,46,0.0,52,35.05,1620.25,0.0,843.0,0.0,27,2,95625,171,4829,0,0,2.993293091884641,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
6,19,0.0,14,34.3,577.15,0.0,8.08,0.0,65,0,94015,63337,4615,0,0,2.993293091884641,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
0,68,14.86,59,82.45,5646.6,0.0,0.0,1010.48,21,0,95735,25,5308,1,1,2.993293091884641,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
0,28,13.69,12,91.25,2483.65,0.0,0.0,383.32,50,0,95630,51855,2886,0,0,2.993293091884641,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,71,20.49,0,19.9,1397.3,0.0,0.0,1454.79,28,2,95713,8525,6015,1,0,2.993293091884641,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
0,60,39.41,0,25.0,1505.05,0.0,0.0,2364.6,63,0,95336,36738,6355,0,0,2.993293091884641,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,70,3.67,28,106.15,7475.1,0.0,2093.0,256.9,37,3,95722,3747,4649,1,0,4.0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0
0,17,47.45,5,65.75,1111.2,0.0,0.0,806.6500000000001,47,0,95364,235,3921,0,0,2.993293091884641,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,34,12.33,23,64.2,2106.3,0.0,48.44,419.22,74,0,93441,1317,2225,1,0,4.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,45,37.39,30,81.65,3618.7,0.0,0.0,1682.55,57,0,90248,9960,5937,1,0,2.993293091884641,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,46,16.04,26,69.1,3255.35,0.0,846.0,737.8399999999999,65,0,96047,911,3856,1,0,3.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
6,22,36.15,11,78.65,1663.75,0.0,183.0,795.3,64,2,94596,40917,3571,1,0,3.0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
10,72,1.34,30,93.05,6735.05,0.0,2021.0,96.48,73,0,92870,48170,4988,0,0,2.993293091884641,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
1,29,37.65,9,51.6,1442.0,0.0,12.98,1091.85,77,0,92584,14068,5495,1,2,5.0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
0,8,30.8,27,66.65,520.95,0.0,0.0,246.4,41,0,95231,5094,3804,0,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,2.24,7,72.956,70.15,0.0,0.0,2.24,34,0,92692,46227,3208,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2,60,22.95,15,104.35,6339.45,41.23,951.0,1377.0,80,0,90701,16398,4040,1,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
0,4,48.35,26,92.768,346.2,0.0,0.0,193.4,74,0,92807,36301,5808,2,2,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,6,6.48,0,19.85,119.3,0.0,0.0,38.88,40,1,93653,972,5060,2,1,3.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,33,27.78,9,98.28,3105.55,0.0,279.0,916.74,72,0,92129,47224,4333,2,2,2.993293091884641,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
0,9,27.64,29,50.1,484.05,0.0,14.04,248.76,34,2,90008,30852,4738,1,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,71,4.89,0,24.35,1654.6,0.0,0.0,347.19,36,3,93261,2956,4155,2,0,2.993293091884641,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
1,30,48.02,24,101.5,2917.65,0.0,0.0,1440.6,79,0,91504,25882,4828,1,0,5.0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,44,49.57,21,85.25,3704.15,0.0,0.0,2181.08,54,0,95717,407,2292,0,0,2.993293091884641,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,10.38,8,105.508,101.45,0.0,0.0,10.38,32,0,95975,1601,4390,3,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
9,18,43.69,0,24.65,471.35,0.0,0.0,786.42,22,3,93550,67232,5231,2,0,2.993293091884641,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0
1,42,10.73,24,87.672,3588.4,0.0,861.0,450.66,58,0,93287,88,2514,3,0,3.0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7,36,40.54,59,92.9,3379.25,0.0,0.0,1459.44,23,2,93668,1130,3570,1,0,3.0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0
9,72,0.0,51,65.25,4478.85,0.0,0.0,0.0,24,3,95546,3041,6412,0,0,2.993293091884641,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0
0,21,0.0,26,43.55,1011.5,0.0,0.0,0.0,29,0,94087,50070,5808,1,2,2.993293091884641,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
0,69,18.47,28,85.35,5897.4,0.0,165.13,1274.4299999999998,42,0,94305,13386,6499,0,0,2.993293091884641,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,7,49.66,0,20.05,96.8,0.0,0.0,347.62,56,3,94070,28098,3810,0,0,2.993293091884641,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,33,35.31,0,24.5,740.3,35.05,0.0,1165.23,21,0,94574,9423,5194,0,0,2.993293091884641,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1
1,7,25.64,71,50.7,350.35,0.0,249.0,179.48000000000002,20,2,90638,47568,3097,1,2,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
2,55,42.82,30,88.86800000000001,4874.7,0.0,0.0,2355.1,66,0,92122,34902,5502,4,0,2.993293091884641,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
0,4,6.5,73,80.15,319.85,0.0,0.0,26.0,27,0,90026,73686,2841,1,0,3.0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,4,49.5,25,98.072,424.45,0.0,106.0,198.0,65,0,94583,44078,5419,0,0,2.993293091884641,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8,57,28.25,15,95.3,5567.45,0.0,835.0,1610.25,75,1,94571,5246,4912,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
0,20,31.02,0,19.4,415.4,0.0,0.0,620.4,20,0,90501,40705,4958,1,0,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
9,63,34.02,18,80.0,5040.2,0.0,907.0,2143.26,34,0,95008,44976,5540,1,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
0,1,47.36,41,45.3,45.3,0.0,0.0,47.36,25,0,91203,14493,3575,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,16,18.99,33,99.424,1555.65,0.0,513.0,303.84,39,0,96024,960,5915,1,0,2.993293091884641,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
