a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
1,0,2.0,1.2416800000000001,2.0,1.4859,2.0,1.72973,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.77128,2.0,2.0,2.0,2.0,1.74468,2.0,1.8964699999999999,2.0,1.64628,2.0,1.38255,2.0,1.10819,2.0,0.8263,2.0,0.18616999999999995,2.0
1,0,1.88305,0.7800400000000001,2.0,1.3637299999999999,1.82403,1.1920600000000001,1.85086,1.05901,1.90558,0.95708,1.8519299999999999,1.25,1.7789700000000002,1.25322,1.6920600000000001,1.5794000000000001,1.7103000000000002,1.39056,1.73176,1.27575,2.0,1.34871,1.5676,1.52039,1.69811,1.53235,1.80901,1.5858400000000001,1.43026,1.70923,1.5236100000000001,1.5418500000000002
1,0,1.9964499999999998,1.06468,2.0,0.98764,1.97811,1.02498,1.96112,1.02312,1.99274,1.07808,1.89323,1.10346,1.94212,1.05269,1.88809,1.1112,1.86104,1.08631,1.81633,1.1183,1.8366799999999999,1.14442,1.8132899999999998,1.13412,1.7947600000000001,1.13638,1.7911000000000001,1.15379,1.77122,1.1593,1.70941,1.12015
1,0,2.0,1.28046,2.0,1.02477,2.0,1.07764,2.0,1.04317,1.9876200000000002,1.33266,2.0,1.05489,2.0,1.04384,1.9575,0.75402,1.84371,0.91332,2.0,1.0415,1.99933,1.27376,2.0,0.60944,1.96414,0.97826,1.86747,1.2336,1.94578,0.77979,1.80355,0.92671
1,0,1.87111,1.04326,1.7994599999999998,1.18297,1.99009,1.29292,1.89455,0.9166300000000001,1.88598,0.97972,1.90446,0.7327600000000001,1.8941,1.19964,1.88644,0.95358,1.8445200000000002,0.99009,1.97882,0.65976,1.7895400000000001,0.74899,1.86661,0.90807,1.85967,0.97092,1.7877399999999999,0.95899,1.75935,1.21812,1.88238,1.09193
0,0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
1,0,1.65909,0.37121000000000004,1.0,1.0,1.0,1.0,1.7727300000000001,2.0,2.0,0.7197,1.0,1.0,1.0,1.0,1.62121,0.77273,1.84091,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.06061000000000005,0.87121,0.06818000000000002,1.0,1.0,1.0,1.0
1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,2.0,2.0,0.0,0.8,2.0,0.0,1.0,2.0,1.0,1.0
1,0,1.92436,1.36924,1.71976,1.6842000000000001,1.29303,1.94078,0.88892,1.7652700000000001,0.6839500000000001,1.9245299999999999,0.33384,1.78766,0.07855000000000001,1.42314,0.056849999999999956,1.09585,0.0,1.03191,0.33569000000000004,0.33721999999999996,0.5399,0.21826,0.86514,0.11917999999999995,1.1976499999999999,0.14863000000000004,1.48904,0.29752999999999996,1.69886,0.53952,1.7606600000000001,0.86806
1,0,1.51207,2.0,2.0,1.5381,1.71178,1.80833,1.45622,1.46427,1.33081,2.0,1.21249,2.0,0.82584,2.0,0.66919,1.98722,0.38617999999999997,2.0,0.47326,1.71699,0.11499999999999999,1.47894,0.0,1.35175,0.0,1.09569,0.0,0.83287,0.0,0.5777399999999999,0.08096999999999999,0.34443
